Timestamp,pH,TDS,Turbidity,Conductivity,Temperature
01-01-2024 00:00,5.634462567,1592.122647,5.610420757,835.5250765,29.4792544
01-01-2024 01:00,7.193729522,229.5290486,3.600821398,323.7253252,10.26328763
01-01-2024 02:00,7.405815438,457.0993667,3.884532048,373.8554954,27.50421515
01-01-2024 03:00,6.78355391,1444.037863,5,982.7520348,32.92839587
01-01-2024 04:00,4.988280467,1633.716073,5,810.1045817,22.39067242
01-01-2024 05:00,7.456919638,428.7644515,3.21232216,374.3091728,14.61809406
01-01-2024 06:00,6.639820442,461.0679984,3.257495149,401.7994776,19.83861553
01-01-2024 07:00,5.848766301,1490.162467,6.447047525,1079.514484,27.60088211
01-01-2024 08:00,6.908515788,758.7044975,1.535799929,458.1514086,20.71188956
01-01-2024 09:00,7.344741725,548.6538923,2.169210776,280.050478,29.76458691
01-01-2024 10:00,7.430230419,643.2957813,0.952696011,376.5616993,12.07187147
01-01-2024 11:00,7.390175707,257.5534087,2.689479821,445.7839631,24.84684651
01-01-2024 12:00,7.968025361,685.3673288,1.686985628,377.2421397,21.48613611
01-01-2024 13:00,7.323834278,496.5697907,0.748171193,334.2253017,16.9412018
01-01-2024 14:00,7.125913399,1158.112934,6.482818233,818.5954689,28.09144652
01-01-2024 15:00,7.144529359,573.1808427,2.277279299,442.567221,15.88081565
01-01-2024 16:00,7.05968964,628.7676675,1.310767535,377.3118434,28.02809916
01-01-2024 17:00,7.342149876,697.6396303,2.609408472,255.8977299,15.40990469
01-01-2024 18:00,7.128954418,528.574952,1.975551864,468.4256645,14.01667204
01-01-2024 19:00,6.1865863,1579.299934,6.742107476,966.5839259,23.93655133
01-01-2024 20:00,6.428922381,1600.1641,8.198927543,800,25.86029461
01-01-2024 21:00,6.821734814,100,3.103247501,460.3933547,17.15150519
01-01-2024 22:00,6.909907157,798.877303,5,358.2772904,18.61555322
01-01-2024 23:00,6.159670412,1178.653402,5.215540777,1038.076436,18.78790163
02-01-2024 00:00,5.446447762,1451.195429,7.210266032,918.1155698,25.51482621
02-01-2024 01:00,7.379978619,445.0239469,2.098204973,486.2132404,17.63177271
02-01-2024 02:00,7.595686342,1654.854452,6.376907193,804.7041946,26.01623866
02-01-2024 03:00,6.149034019,1772.839905,10,949.1439326,25.6270434
02-01-2024 04:00,6.124792776,1433.646108,5.227010219,870.3967267,21.61830142
02-01-2024 05:00,7.231929068,347.7358712,1.242131844,447.3622249,15.37968596
02-01-2024 06:00,5.886586012,1425.999645,6.087420794,800,32.41629442
02-01-2024 07:00,4.914005666,1000,9.740277386,1094.691029,24.09296983
02-01-2024 08:00,5.207772293,1300.66979,6.079139448,805.5044952,23.64442426
02-01-2024 09:00,7.547578674,181.7217651,2.04090969,293.4423632,13.74400432
02-01-2024 10:00,7.606691358,668.8152177,2.500682819,357.8117735,22.10858467
02-01-2024 11:00,6.227489059,1329.228207,8.200785785,1105.841837,19.64745933
02-01-2024 12:00,5.447357218,1442.822196,7.256157394,1119.10205,26.81012275
02-01-2024 13:00,6.734800971,572.7099226,2.410765846,195.5062653,21.5098045
02-01-2024 14:00,5.582012795,1236.131681,6.155771454,986.0485445,25.0898629
02-01-2024 15:00,5.584957855,1220.682892,8.578263671,952.0086024,27.99789314
02-01-2024 16:00,5.826731299,1126.107245,6.673806528,871.6229497,29.27472326
02-01-2024 17:00,7.223590557,408.9949558,3.095490898,390.9438531,33.5539715
02-01-2024 18:00,7.313190148,622.6834487,2.27252374,356.8072269,28.70470743
02-01-2024 19:00,7.412506934,623.9070757,1.167222603,468.3987443,17.70070369
02-01-2024 20:00,7.376495162,387.1765392,2.288333018,284.9340173,23.49407835
02-01-2024 21:00,6.075033406,1537.699195,5,800,25.70739476
02-01-2024 22:00,7.23608869,320.911249,2.277525103,376.7843638,17.81131339
02-01-2024 23:00,5.660074901,1236.146707,7.064044865,993.8214,27.07689811
03-01-2024 00:00,5.727647687,1304.974944,5,875.1863922,18.57814012
03-01-2024 01:00,5.19755222,1090.486041,5,844.6795102,23.11005127
03-01-2024 02:00,7.394306561,377.2701675,2.086394467,191.641161,15.28969908
03-01-2024 03:00,6.41959451,1163.382897,5.106044894,1141.052851,37.05820096
03-01-2024 04:00,5.383717349,1296.033171,7.217968893,800,25.50663588
03-01-2024 05:00,5.205083775,1332.844276,7.630648334,800,19.9764757
03-01-2024 06:00,7.70893691,499.8937108,2.539447048,356.233135,18.54773042
03-01-2024 07:00,5.444378306,1810.818488,6.584530912,800,20.3441737
03-01-2024 08:00,4.767353487,1326.585071,5,924.2687311,21.70470155
03-01-2024 09:00,7.084405921,396.136853,3.054057771,100,20.28370842
03-01-2024 10:00,5.732891738,1337.805707,10,1037.2433,18.57900895
03-01-2024 11:00,5.028640532,1301.691117,5.1298948,800,27.81046131
03-01-2024 12:00,5.415301042,1000,5.018387067,841.7383139,20.6791396
03-01-2024 13:00,4.9603947,1366.243053,5,845.0096145,31.04765701
03-01-2024 14:00,6.111922611,1065.770567,5,800,30.58489714
03-01-2024 15:00,7.156773733,490.6993986,3.400533077,353.4375309,22.04067956
03-01-2024 16:00,5.574146467,1453.682655,5.453695507,1172.137924,21.58069898
03-01-2024 17:00,6.651421367,1476.691003,5.636532925,937.5771306,13.11215085
03-01-2024 18:00,6.760058708,1194.729276,6.524033149,997.1408974,32.4597153
03-01-2024 19:00,7.189594534,633.5574745,1.52987574,272.8259185,21.92985046
03-01-2024 20:00,5.151998435,1582.188881,6.588837955,1007.89914,25.68062317
03-01-2024 21:00,6.124353725,1598.875746,8.948994735,914.5346814,24.26422347
03-01-2024 22:00,7.283706458,540.7242966,2.408155236,414.4595432,13.57000147
03-01-2024 23:00,5.696775184,1457.277349,5.61368955,983.734816,31.04684589
04-01-2024 00:00,7.65922525,244.419262,3.181362327,326.3551163,34.71524168
04-01-2024 01:00,7.37378745,572.5814977,1.67538775,472.803021,23.31823174
04-01-2024 02:00,5.549330192,1293.71772,5,965.1102731,26.87873441
04-01-2024 03:00,7.189503453,233.2118624,1.524633973,459.2106784,30.67793365
04-01-2024 04:00,4.558974571,1399.675657,6.547229162,800,23.53284299
04-01-2024 05:00,5.305209796,1362.533938,5.529670243,800,33.17431426
04-01-2024 06:00,7.413484463,759.8772499,1.825065981,298.1747361,22.19743024
04-01-2024 07:00,5.375536273,1214.767347,5,915.9758102,23.51052328
04-01-2024 08:00,5.870624451,1635.400127,5,876.5244255,30.10729052
04-01-2024 09:00,6.81590868,762.4375856,2.879153119,289.8055558,17.85509641
04-01-2024 10:00,7.066045514,588.0040702,2.090313407,341.7284976,25.41499969
04-01-2024 11:00,6.789059106,752.7521418,3.855572936,354.3040871,28.43774028
04-01-2024 12:00,7.387700204,560.5595136,3.478422112,326.8699057,24.82077942
04-01-2024 13:00,6.121275248,1000.331007,5.049030518,888.2836485,21.73701045
04-01-2024 14:00,7.724873023,734.5120038,1.373946039,539.8734981,25.77346883
04-01-2024 15:00,7.364129214,262.8213947,4.261188125,492.7305364,19.65776754
04-01-2024 16:00,5.898000808,1312.857834,6.827508406,971.9265844,21.13180078
04-01-2024 17:00,6.909496664,591.8703191,2.436876987,333.1740866,9.874800432
